Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Package ID,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan or Purchase Option ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description,Promotion ID,Sales Channel
GPA.3330-9104-7236-33176,"Jul 23, 2026",2:06:11 PM PDT,,Charge,,Astral Lab: Natal Chart,com.cha0smagicklabs.astralchart,Paid app,,dm2q,US,FL,33916,USD,6.99,1.000000,USD,6.99,,,4993951633197654550,Yes,,,,Play store
GPA.3330-9104-7236-33176,"Jul 23, 2026",2:06:11 PM PDT,,Google fee,,Astral Lab: Natal Chart,com.cha0smagicklabs.astralchart,Paid app,,dm2q,US,FL,33916,USD,-1.05,1.000000,USD,-1.05,,,4993951633197654550,Yes,15,,,Play store
GPA.3330-9104-7236-33176,"Jul 23, 2026",2:06:11 PM PDT,Colombia VAT,Tax,,Astral Lab: Natal Chart,com.cha0smagicklabs.astralchart,Paid app,,dm2q,US,FL,33916,USD,-0.20,1.000000,USD,-0.20,,,4993951633197654550,Yes,,,,Play store
GPA.3318-9969-4077-59433,"Jul 23, 2026",2:06:45 PM PDT,,Charge,,Dreamachine: Lucid Dreaming,com.cha0smagick.dreammachine,Paid app,,dm2q,US,FL,33916,USD,3.99,1.000000,USD,3.99,,,4993951633197654550,Yes,,,,Play store
GPA.3318-9969-4077-59433,"Jul 23, 2026",2:06:45 PM PDT,,Google fee,,Dreamachine: Lucid Dreaming,com.cha0smagick.dreammachine,Paid app,,dm2q,US,FL,33916,USD,-0.60,1.000000,USD,-0.60,,,4993951633197654550,Yes,15,,,Play store
GPA.3318-9969-4077-59433,"Jul 23, 2026",2:06:45 PM PDT,Colombia VAT,Tax,,Dreamachine: Lucid Dreaming,com.cha0smagick.dreammachine,Paid app,,dm2q,US,FL,33916,USD,-0.11,1.000000,USD,-0.11,,,4993951633197654550,Yes,,,,Play store
GPA.3318-9679-0062-10833,"Jul 23, 2026",2:07:12 PM PDT,,Charge,,Moon Phases & Lunar Calendar,com.lunarapp.app,Paid app,,dm2q,US,FL,33916,USD,3.99,1.000000,USD,3.99,,,4993951633197654550,Yes,,,,Play store
GPA.3318-9679-0062-10833,"Jul 23, 2026",2:07:12 PM PDT,,Google fee,,Moon Phases & Lunar Calendar,com.lunarapp.app,Paid app,,dm2q,US,FL,33916,USD,-0.60,1.000000,USD,-0.60,,,4993951633197654550,Yes,15,,,Play store
GPA.3318-9679-0062-10833,"Jul 23, 2026",2:07:12 PM PDT,Colombia VAT,Tax,,Moon Phases & Lunar Calendar,com.lunarapp.app,Paid app,,dm2q,US,FL,33916,USD,-0.12,1.000000,USD,-0.12,,,4993951633197654550,Yes,,,,Play store
GPA.3377-5657-8369-81734,"Jul 23, 2026",2:07:54 PM PDT,,Charge,,Tarot Rider-Waite Complete,com.cha0smagick.unofficialraiderwaite,Paid app,,dm2q,US,FL,33916,USD,9.99,1.000000,USD,9.99,,,4993951633197654550,Yes,,,,Play store
GPA.3377-5657-8369-81734,"Jul 23, 2026",2:07:54 PM PDT,,Google fee,,Tarot Rider-Waite Complete,com.cha0smagick.unofficialraiderwaite,Paid app,,dm2q,US,FL,33916,USD,-1.50,1.000000,USD,-1.50,,,4993951633197654550,Yes,15,,,Play store
GPA.3377-5657-8369-81734,"Jul 23, 2026",2:07:54 PM PDT,Colombia VAT,Tax,,Tarot Rider-Waite Complete,com.cha0smagick.unofficialraiderwaite,Paid app,,dm2q,US,FL,33916,USD,-0.28,1.000000,USD,-0.28,,,4993951633197654550,Yes,,,,Play store
GPA.3360-3163-7178-48677,"Jul 26, 2026",8:25:49 PM PDT,,Charge,,Astral Lab: Natal Chart,com.cha0smagicklabs.astralchart,Paid app,,,US,AZ,85007,USD,6.99,1.000000,USD,6.99,,,4993951633197654550,Yes,,,,Play store
GPA.3360-3163-7178-48677,"Jul 26, 2026",8:25:49 PM PDT,,Google fee,,Astral Lab: Natal Chart,com.cha0smagicklabs.astralchart,Paid app,,,US,AZ,85007,USD,-1.05,1.000000,USD,-1.05,,,4993951633197654550,Yes,15,,,Play store
GPA.3360-3163-7178-48677,"Jul 26, 2026",8:25:49 PM PDT,Colombia VAT,Tax,,Astral Lab: Natal Chart,com.cha0smagicklabs.astralchart,Paid app,,,US,AZ,85007,USD,-0.20,1.000000,USD,-0.20,,,4993951633197654550,Yes,,,,Play store
GPA.3379-8746-6105-50913,"Jul 30, 2026",3:21:29 AM PDT,,Charge,,NOCTEM Tools: Ghost Hunting,com.cha0smagicklabs.noctemapp,Paid app,,tokay,JP,,479-0848,JPY,2436,0.006112,USD,14.89,,,4993951633197654550,Yes,,,,Play store
GPA.3379-8746-6105-50913,"Jul 30, 2026",3:21:29 AM PDT,,Google fee,,NOCTEM Tools: Ghost Hunting,com.cha0smagicklabs.noctemapp,Paid app,,tokay,JP,,479-0848,JPY,-365,0.006112,USD,-2.23,,,4993951633197654550,Yes,15,,,Play store
GPA.3379-8746-6105-50913,"Jul 30, 2026",3:21:29 AM PDT,Colombia VAT,Tax,,NOCTEM Tools: Ghost Hunting,com.cha0smagicklabs.noctemapp,Paid app,,tokay,JP,,479-0848,JPY,-69,0.006112,USD,-0.42,,,4993951633197654550,Yes,,,,Play store
